itemNumber,description,unit
5040230,"IRRIGATION STANDPIPE, 30"" (MAG DET. 503)",EACH
5040231,"IRRIGATION STANDPIPE, 30"" (MAG DET 503)(TYPE B)",EACH
5040236,"IRRIGATION STANDPIPE, 36"" (MAG DET. 503)",EACH
5040242,"IRRIGATION STANDPIPE, 42"" (MAG DET. 503-B)",EACH
5040248,"IRRIGATION STANDPIPE, 48""",EACH
5040518,"IRRIGATION GATE (C-16.30) (PRECAST) (TYPE 1) (18"")",EACH
5040568,"IRRIGATION GATE (C-16.30) (TYPE 2) (24"")",EACH
5040569,IRRIGATION GATE (,EACH
5040571,SLUICE GATE,EACH
5040575,AUTOMATIC FLAP GATE (,EACH
5040581,"AUTOMATIC FLAP GATE (36"")",EACH
5040582,"AUTOMATIC FLAP GATE (48"")",EACH
5040648,"IRRIGATION VALVE, 6' (MAG DET. 506)",EACH
5040650,"IRRIGATION VALVE, 8' (MAG DET. 506)",EACH
5040652,"IRRIGATION VALVE (PHOENIX STD. 290)  (10"")",EACH
5040654,"IRRIGATION VALVE, 12"" (MAG DET. 506)",EACH
5040655,"IRRIGATION VALVE, 14"" (MAG DET. 506)",EACH
5040656,"IRRIGATION VALVE, 16"" (MAG DET. 506)",EACH
5040660,IRRIGATION VALVE (,EACH
5040708,"IRRIGATION HEADGATE (8"")",EACH
5040712,"IRRIGATION HEADGATE (12"")",EACH
5040715,"IRRIGATION HEADGATE (15"")",EACH
5040718,"IRRIGATION HEADGATE (18"""")",EACH
5040724,"IRRIGATION HEADGATE (24"")",EACH
5040901,IRRIGATION JUNCTION BOX,EACH
5040902,IRRIGATION JUNCTION BOX (MAG DET. 504),EACH
5040903,IRRIGATION JUNCTION BOX (SRVWUA),EACH
5040904,IRRIGATION JUNCTION BOX (,EACH
5040913,RECONSTRUCT IRRIGATION JUNCTION BOX,EACH
5040921,FLUME (,L.SUM
5040951,IRRIGATION HEADWALL,EACH
5040953,IRRIGATION HEADWALL (,EACH
5040954,IRRIGATION HEADWALL (,EACH
5040955,IRRIGATION HEADWALL (,EACH
5040957,IRRIGATION HEADWALL (,EACH
5040958,IRRIGATION HEADWALL (,EACH
5040959,IRRIGATION HEADWALL (,EACH
5040960,IRRIGATION HEADWALL (,EACH
5040961,IRRIGATION HEADWALL (,EACH
5040962,IRRIGATION HEADWALL (,EACH
5040963,IRRIGATION HEADWALL (,EACH
5040964,IRRIGATION HEADWALL (,EACH
5040965,IRRIGATION HEADWALL (,EACH
5040991,IRRIGATION STRUCTURE (,EACH
5040992,IRRIGATION STRUCTURE (,EACH
5040993,IRRIGATION STRUCTURE (,EACH
5040994,IRRIGATION STRUCTURE (,EACH
5040998,RELOCATE IRRIGATION LINE (,L.FT.
5041901,DRAINAGE STRUCTURE (,EACH
5041902,DRAINAGE STRUCTURE (,EACH
5041903,DRAINAGE STRUCTURE (,EACH
5041904,DRAINAGE STRUCTURE (,EACH
5041905,DRAINAGE STRUCTURE (,EACH
5041906,DRAINAGE STRUCTURE (,EACH
5041907,DRAINAGE STRUCTURE (,EACH
5041990,DRAINAGE STRUCTURE (,EACH
5041991,DRAINAGE STRUCTURE (,EACH
5041992,DRAINAGE STRUCTURE (,EACH
5041994,DRAINAGE STRUCTURE (,EACH
5041995,DRAINAGE STRUCTURE,EACH
5041996,DRAINAGE STRUCTURE (HEADWALL),EACH
5041997,DRAINAGE STRUCTURE (,EACH
5041998,DRAINAGE STRUCTURE (,EACH
5041999,DRAINAGE STRUCTURE (,EACH
5042001,SEWER SIPHON OUTLET STRUCTURE,L.SUM
5042011,SEWER SIPHON INLET STRUCTURE,L.SUM
5042021,SEWER SIPHON MAINTENANCE STRUCTURE,L.SUM
5042031,SEWER SIPHON MAINTENANCE STRUCTURE,L.SUM
5050001,"MANHOLE (C-18.10) (NO. 1) (FOR PIPES 6"" TO 36"")",EACH
5050002,"MANHOLE (C-18.10) (NO. 1) (FOR PIPES OVER 36"")",EACH
5050012,MANHOLE (C-18.10)(NO.1) (,EACH
5050013,MANHOLE (C 18.10) (,EACH
5050021,"MANHOLE (C-18.10) (NO. 2) (FOR PIPES 6"" TO 36"")",EACH
5050022,"MANHOLE (C-18.10)(NO 2)(FOR PIPE OVER 36"")",EACH
5050023,MANHOLE (C-18.10)(NO. 2) (,EACH
5050024,"MANHOLE (C-18.10) (NO. 2) (FOR PIPES 6"" TO 36"")",EACH
5050031,"MANHOLE (C-18.10) (NO. 3) (FOR PIPES 6"" TO 36"")",EACH
5050032,"MANHOLE (C-18.10) (NO. 3)  (FOR PIPES OVER 36"")",EACH
5050033,MANHOLE (C-18.10) (NO. 3) (,EACH
5050060,MANHOLE (PHOENIX DET. P-1430),EACH
5050063,MANHOLE (MAG DET. 422),EACH
5050064,MANHOLE (MAG DET. 522),EACH
5050065,MANHOLE (MAG DET. 520 & 522),EACH
5050066,MANHOLE (MAG DET. 521 & 522),EACH
5050067,"MANHOLE (MAG DET. 420-1, 520, 521, & 522)",EACH
5050068,MANHOLE (MAG DET. 420-1 & 424-1),EACH
5050069,"MANHOLE (MAG DET. 420-1, 424-1 & 426)",EACH
5050070,"PRESSURE MANHOLE (MAG DET. 520, 521 & 523)",EACH
5050072,"MANHOLE (MAG DET. 420 & 424) (60"")",EACH
5050074,MANHOLE DROP CONNECTION (MAG. DET. 426),EACH
5050076,MANHOLE (TUCSON STD.),EACH
5050080,IRRIGATION MANHOLE,EACH
5050084,IRRIGATION MANHOLE (,EACH
5050085,IRRIGATION MANHOLE (,EACH
5050086,IRRIGATION MANHOLE (,EACH
5050087,IRRIGATION MANHOLE (,EACH
5050089,MANHOLE (,EACH
5050090,MANHOLE (,EACH
5050091,MANHOLE (,EACH
5050092,MANHOLE (,EACH
5050093,MANHOLE (,EACH
5050094,MANHOLE (,EACH
5050095,MANHOLE (,EACH
5050096,MANHOLE (SPECIAL) (,EACH
5050097,MANHOLE (SPECIAL) (,EACH
5050098,MANHOLE (SPECIAL) (,EACH
5050101,FRAME AND COVER FOR MANHOLE,EACH
5050102,FRAME AND COVER FOR MANHOLE (,EACH
5050201,RESET FRAME AND COVER FOR MANHOLE,EACH
5050202,RESET FRAME AND COVER FOR MANHOLE (,EACH
5050206,RESET FRAME AND COVER FOR MANHOLE (,EACH
5050211,RESET FRAME AND COVER FOR CLEAN OUT,EACH
5050215,ABANDON MANHOLE,EACH
5050216,ABANDON (,EACH
5050221,RECONSTRUCT MANHOLE,EACH
5050226,RECONSTRUCT MANHOLE BASE,EACH
5050301,"MANHOLE, PIMA CO. #1",EACH
5050302,"MANHOLE, PIMA CO. #2",EACH
5050304,"MANHOLE, PIMA CO. #4",EACH
5050319,MANHOLE (DROP)(PIMA CO. WMD STD. DET. 212),EACH
5050355,MANHOLE (SANITARY) (5-FT DIAMETER),EACH
5052001,MANHOLE TURNOUT STRUCTURE,EACH
5053011,SEWER CLEANOUT (MAG DET. 441),EACH
5053012,SEWER CLEANOUT (,EACH
5053015,SEWER CLEANOUT (,EACH
5053051,FILL ABANDONED MANHOLE & PLUG PIPE,EACH
5054011,EMERGENCY BYPASS SEWER JUNCTION STRUCTURE,L.SUM
5054021,STORM DRAIN MAINTENANCE MANHOLE NO. 1,L.SUM
5054022,STORM DRAIN MAINTENANCE MANHOLE NO. 2,L.SUM
5054023,STORM DRAIN STRUCTURE,L.SUM
5060100,PUMP STATION,L.SUM
5060106,PUMP STATION (,L.SUM
5060200,GENERATOR & CONTROL BUILDING & WET WELL & PUMP STATION SITE,EACH
5060202,GENERATOR & CONTROL BUILDING & WET WELL & PUMP STATION SITE,EACH
5060203,GENERATOR & CONTROL BUILDING & WET WELL & PUMP STATION SITE,EACH
5060300,PUMP STATION EQUIPMENT AND CONTROLS,EACH
5060302,PROGRAMMABLE CONTROLLER,EACH
5060311,GENERATOR LOAD BANK,L.SUM
5060321,CRT INDUSTRIAL TERMINAL,EACH
5060400,PUMP STATION PIPING AND PIPING ACCESSORIES,EACH
5060500,PUMP STATION ELECTRICAL SYSTEM,EACH
5060510,"PUMPS, ELECTRIC MOTORS AND RELATED EQUIPMENT",EACH
5060600,PUMP STATION (,EACH
5060601,RETENTION BASIN LIFT STATION,L.SUM
5063001,UNDERDRAIN (,L.FT.
5080186,DROP STRUCTURE,EACH
6010001,"STRUCTURAL CONCRETE (CLASS S) (F'C = 2,500)",CU.YD.
6010002,"STRUCTURAL CONCRETE (CLASS S) (F'C = 3,000)",CU.YD.
6010003,"STRUCTURAL CONCRETE (CLASS S) (F'C = 3,500)",CU.YD.
6010004,"STRUCTURAL CONCRETE (CLASS S) (F'C = 4,000)",CU.YD.
6010005,"STRUCTURAL CONCRETE (CLASS S) (F'C = 4,500)",CU.YD.
6010006,"STRUCTURAL CONCRETE (CLASS S) (F'C = 5,000)",CU.YD.
6010007,"STRUCTURAL CONCRETE (CLASS S) (F'C = 5,000)",CU.YD.
6010008,STRUCTURAL CONCRETE (CLASS S) (,CU.YD.
6010009,STRUCTURAL CONCRETE (CLASS S) (,CU.YD.
6010010,STRUCTURAL CONCRETE (CLASS S) (,CU.YD.
6010011,STRUCTURAL CONCRETE (CLASS S) (,CU.YD.
6010012,STRUCTURAL CONCRETE (CLASS S) (,SQ.YD.
6010020,STRUCTURAL CONCRETE (CLASS S) ( (,CU.YD.
6010051,STRUCTURAL CONCRETE (FOR WATERLINE ENCASEMENT),CU.YD.
6010096,"RESET PRECAST, PRESTRESSED CONCRETE BRIDGE MEMBER",EACH
6010102,SILICA FUME CONCRETE FOR BRIDGE DECKS,CU.YD.
6010341,PRECAST CONCRETE BRIDGE MEMBER (,EACH
6010351,PRECAST CONCRETE BRIDGE MEMBER (PANELS),SQ.FT.
6010361,PRECAST CONCRETE BRIDGE MEMBER (PANELS),EACH
6010401,CONCRETE ADMIXTURE FOR COLORING,L.SUM
6010501,BRIDGE REPAIR,L.SUM
6010502,BRIDGE REPAIR (DECK JOINTS),L.SUM
6010503,BRIDGE REPAIR (SPLICE BOLTS),L.SUM
6010504,BRIDGE REPAIR (,EACH
6010505,BRIDGE REPAIR (,SQ.YD.
6010506,BRIDGE REPAIR (,SQ.YD.
6010507,BRIDGE REPAIR,L.SUM
6010508,BRIDGE REPAIR (,L.SUM
6010509,CONCRETE (,CU.YD.
6010510,BRIDGE REPAIR (,SQ.FT.
6010511,BRIDGE REPAIR (,L.FT.
6010602,PENETRATING DECK SEALER (EPOXY),SQ.YD.
6010603,PENETRATING DECK SEALER (METHACRYLATE),SQ.YD.
6010604,PENETRATING DECK SEALER (,SQ.YD.
6010724,PORTLAND CEMENT CONCRETE SLAB (CLASS S) (,CU.YD.
6010725,PORTLAND CEMENT CONCRETE (,SQ.YD.
6010731,CONCRETE SLAB (PROTECTIVE),SQ.YD.
6010801,BRIDGE DECK DRAIN ASSEMBLY,L.SUM
6010835,BRIDGE DECK TEXTURING (SAWED GROOVES),SQ.YD.
6010903,CONCRETE BRIDGE DECK,SQ.FT.
6011109,"F-SHAPED BRIDGE CONCRETE BARRIER (42 "")",L.FT.
6011110,"F-SHAPED BRIDGE CONCRETE BARRIER (32 "")",L.FT.
6011112,"F-SHAPED CONCRETE BARRIER TRANSITION (32 "")",EACH
6011114,COMBINATION PEDESTRIAN-TRAFFIC BRIDGE RAILING,L.FT.
6011115,COMBINATION PEDESTRIAN-TRAFFIC BRIDGE RAILING W/FENCE,L.FT.
6011120,SPECIAL BRIDGE CONCRETE BARRIER TRANSITION,EACH
6011130,F-SHAPE BRIDGE CONCRETE  BARRIER AND TRANSITION (32 INCH),L.FT.
6011131,F-SHAPE BRIDGE CONCRETE  BARRIER AND TRANSITION (42 INCH),L.FT.
6011132,COMBINATION PEDESTRIAN-TRAFFIC  BRIDGE RAILING,L.FT.
6011133,PEDESTRIAN FENCE FOR BRIDGE RAILING,L.FT.
6011134,TWO TUBE BRIDGE RAIL,L.FT.
6011142,"32"" TYPE F ROADWAY BARRIER TRANSITION TO 38"" SINGLE SLOPE BRIDGE BARRIER",L.FT.
6011143,"32"" TYPE F ROADWAY BARRIER TRANSITION TO 42"" SINGLE SLOPE BRIDGE BARRIER",L.FT.
6011144,"42"" TYPE F ROADWAY BARRIER TRANSITION TO 42"" SINGLE SLOPE BRIDGE BARRIER",L.FT.
6011150,"SINGLE SLOPE BRIDGE CONCRETE BARRIER AND TRANSITION (38"")",L.FT.
6011151,"SINGLE SLOPE BRIDGE CONCRETE BARRIER AND TRANSITION (42"")",L.FT.
6011190,REPLACE BRIDGE DECK JOINT SEAL (,L.FT.
6011191,REPLACE BRIDGE DECK JOINT SEAL (,L.FT.
6011192,REPLACE BRIDGE DECK JOINT SEAL (,L.FT.
6011200,DECK JOINT MODIFICATION,L.SUM
6011205,DECK JOINT ASSEMBLY (,L.FT.
6011210,DECK JOINT ASSEMBLY (,L.FT.
6011215,DECK JOINT ASSEMBLY (,L.FT.
6011220,DECK JOINT ASSEMBLY (,L.FT.
6011225,"DECK JOINT ASSEMBLY (1"" MOVEMENT RATING)",L.FT.
6011230,"DECK JOINT ASSEMBLY (1 1/2"" MOVEMENT RATING)",L.FT.
6011245,"DECK JOINT ASSEMBLY (3"" MOVEMENT RATING)",L.FT.
6011255,"DECK JOINT ASSEMBLY (4"" MOVEMENT RATING)",L.FT.
6011280,"DECK JOINT ASSEMBLY (6"" MOVEMENT RATING)",L.FT.
6011300,"DECK JOINT ASSEMBLY (8"" MOVEMENT RATING)",L.FT.
6011335,DECK JOINT ASSEMBLY (COMPRESSION SEAL) (B-24.20),L.FT.
6011343,DECK JOINT ASSEMBLY (FLANGELESS STRIP SEAL),L.FT.
6011344,DECK JOINT ASSEMBLY (RAISED STRIP SEAL),L.FT.
6011345,DECK JOINT ASSEMBLY (STRIP SEAL JOINT),L.FT.
6011346,DECK JOINT ASSEMBLY (2X2 COMPRESSION SEAL),L.FT.
6011347,DECK JOINT ASSEMBLY (3X3 COMPRESSION SEAL),L.FT.
6011348,DECK JOINT ASSEMBLY (4X4 COMPRESSION SEAL),L.FT.
6011349,DECK JOINT ASSEMBLY (5X5 COMPRESSION SEAL),L.FT.
6011350,DECK JOINT ASSEMBLY (B-10.10 OR B-10.11 SLAB HINGE),L.FT.
6011352,DECK JOINT ASSEMBLY (B-24.20 3X3 COMPRESSION SEAL),L.FT.
6011357,RECONSTRUCT EXPANSION JOINT (,L.FT.
6011358,RECONSTRUCT EXPANSION JOINT (,L.FT.
6011359,RECONSTRUCT EXPANSION JOINT (,L.FT.
6011360,RECONSTRUCT EXPANSION JOINT (,L.FT.
6011363,APPROACH SLAB (,SQ.FT.
6011364,APPROACH SLAB (,SQ.FT.
6011365,APPROACH SLAB (B-19.11),SQ.FT.
6011369,ANCHOR SLAB (,SQ.FT.
6011370,ANCHOR SLAB (,SQ.FT.
6011371,APPROACH SLAB (SD 2.01),SQ.FT.
6011372,ANCHOR SLAB (TYPE 1) (SD 2.02),SQ.FT.
6011373,ANCHOR SLAB (TYPE 2) (SD 2.03),SQ.FT.
6012020,PRECAST BRIDGE (,EACH
6014851,"PRECAST, PRESTRESSED CONCRETE BRIDGE MEMBER (",L.FT.
6014901,"PRECAST, PRESTRESSED CONCRETE BRIDGE MEMBER (NON-STANDARD)",EACH
6014950,"PRECAST, P/S MEMBER (AASHTO TYPE 2 GIRDER)",L.FT.
6014951,"PRECAST, P/S MEMBER (AASHTO TYPE 3 GIRDER)",L.FT.
6014952,"PRECAST, P/S MEMBER (AASHTO TYPE 4 GIRDER)",L.FT.
6014953,"PRECAST, P/S MEMBER (AASHTO TYPE 5 GIRDER)",L.FT.
6014954,"PRECAST, P/S MEMBER (AASHTO TYPE 6 GIRDER)",L.FT.
6014955,"PRECAST, P/S MEMBER (AASHTO TYPE 5 MOD. GR.)",L.FT.
6014956,"PRECAST, P/S MEMBER (AASHTO TYPE 6 MOD. GR.)",L.FT.
6014957,"PRECAST, P/S MEMBER (BOX BEAM TYPE BI-36)",L.FT.
6014958,"PRECAST, P/S MEMBER (BOX BEAM TYPE BII-36)",L.FT.
6014959,"PRECAST, P/S MEMBER (BOX BEAM TYPE BIII-36)",L.FT.
6014960,"PRECAST, P/S MEMBER (BOX BEAM TYPE BIV-36)",L.FT.
6014961,"PRECAST, P/S MEMBER (BOX BEAM TYPE BI-48)",L.FT.
6014962,"PRECAST, P/S MEMBER (BOX BEAM TYPE BII-48)",L.FT.
6014963,"PRECAST, P/S MEMBER (BOX BEAM TYPE BIII-48)",L.FT.
6014964,"PRECAST, P/S MEMBER (BOX BEAM TYPE BIV-48)",L.FT.
6014965,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SI-36)",L.FT.
6014966,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SII-36)",L.FT.
6014967,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SIII-36)",L.FT.
6014968,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SIV-36)",L.FT.
6014969,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SI-48)",L.FT.
6014970,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SII-48)",L.FT.
6014971,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SIII-48)",L.FT.
6014972,"PRECAST, P/S MEMBER (VOIDED SLAB TYPE SIV-48)",L.FT.
6014973,"PRECAST, P/S MEMBER (",L.FT.
6014974,"PRECAST, P/S MEMBER (",L.FT.
6014975,"PRECAST, P/S MEMBER (BULB TEE GIRDER 42"")",L.FT.
6014976,"PRECAST, P/S MEMBER (BULB TEE GIRDER 50"")",L.FT.
6014977,"PRECAST, P/S MEMBER (BULB TEE GIRDER 58"")",L.FT.
6014978,"PRECAST, P/S MEMBER (BULB TEE GIRDER 66"")",L.FT.
6014979,"PRECAST, P/S MEMBER (BULB TEE GIRDER 74"")",L.FT.
6014980,"PRECAST, P/S MEMBER (BULB TEE GIRDER 82"")",L.FT.
6014981,"PRECAST, P/S MEMBER (BULB TEE GIRDER 90"")",L.FT.
6015001,PRESTRESSED ROOF SLAB,SQ.FT.
6015101,"RESTRAINERS, VERTICAL EARTHQUAKE (FIXED)",EACH
6015102,"RESTRAINERS, VERTICAL EARTHQUAKE (EXPANSION)",EACH
6015106,LONGITUDINAL RESTRAINER,EACH
6015110,TRANSVERSE RESTRAINER,EACH
6015200,HIGH LOAD MULTI-ROTATIONAL BEARING,EACH
6015201,BEARING (FIXED),EACH
6015203,BEARING (,EACH
6015242,BEARING (,EACH
6015301,CONCRETE BRIDGE BARRIER (,L.FT.
6015302,CONCRETE BRIDGE BARRIER (,L.FT.
6015601,CONCRETE SURFACE FORD (,CU.YD.
6016087,HEADWALL,EACH
6016088,HEADWALL (,EACH
6016089,HEADWALL (,EACH
6016090,HEADWALL (,EACH
6016091,HEADWALL (,EACH
6016092,HEADWALL (,EACH
6016093,HEADWALL (,EACH
6016094,HEADWALL (,EACH
6016095,HEADWALL (,EACH
6016096,HEADWALL (,EACH
6016097,HEADWALL (,EACH
6016098,HEADWALL (,EACH
6016099,HEADWALL (,EACH
6016100,HEADWALL (,EACH
6016101,HEADWALL (,EACH
6016102,HEADWALL (,EACH
6016103,HEADWALL (,EACH
6016104,HEADWALL (,EACH
6016105,HEADWALL (,EACH
6016106,HEADWALL (,EACH
6016107,HEADWALL (,EACH
6016108,HEADWALL (,EACH
6016109,CUT-OFF-WALL,EACH
6016111,CUT-OFF-WALL,L.FT.
6017105,PRECAST REINFORCED CONCRETE BOX CULVERT,L.FT.
6018101,REINFORCED CONCRETE BOX CULVERT (,L.FT.
6018102,REINFORCED CONCRETE BOX CULVERT (,L.FT.
6018103,REINFORCED CONCRETE BOX CULVERT (,L.FT.
6018111,REINFORCED CONCRETE BOX CULVERT (,L.SUM
6019101,REINFORCED CONCRETE CAP,L.FT.
6019811,CONCRETE STAIN,SQ.FT.
6020001,PRESTRESSING CAST-IN-PLACE CONCRETE- STA (,L.SUM
6020002,PRESTRESSING CAST-IN-PLACE CONCRETE-STA (,L.SUM
6020003,PRESTRESSING CAST-IN-PLACE CONCRETE-STA (,L.SUM
6020004,PRESTRESSING CAST-IN-PLACE CONCRETE-STA (,L.SUM
6020006,PRESTRESSING CAST-IN-PLACE CONCRETE-STA (,L.SUM
6030003,FURNISHING PILES (STEEL) (HP 12X53),L.FT.
6030008,FURNISHING PILES (STEEL) (HP 14 X 89),L.FT.
6030010,FURNISHING PILES (STEEL) (HP 14 X 117),L.FT.
6030012,FURNISH HP PILES (,L.FT.
6030013,FURNISH PILES (,L.FT.
6030021,FURNISHING PILES (PRECAST CONCRETE),L.FT.
6030031,FURNISHING PILES (METAL SHELLS FOR CIP CONCRETE PILES),L.FT.
6030041,FURNISHING PILES (PIPE CASING FOR CIP CONCRETE PILES),L.FT.
6030082,FURNISH AND INSTALL PILES (,L.FT.
6030083,FURNISH AND INSTALL PILES (,L.FT.
6030084,FURNISH AND INSTALL PILES (,L.FT.
6030085,FURNISH AND INSTALL PILES (,L.FT.
6030091,FURNISHING PILES (TIMBER),L.FT.
6030093,FURNISH AND INSTALL PILES (STEEL) (W 8 X 18),L.FT.
6030094,FURNISH AND INSTALL PILES (STEEL) (W 8 X 24),L.FT.
6030095,FURNISH AND INSTALL PILES (STEEL) (W 8 X 31),L.FT.
6030096,FURNISH AND INSTALL PILES (STEEL) (W 10 X 33),L.FT.
6030097,FURNISH AND INSTALL PILES (STEEL) (W 10 X 54),L.FT.
6030101,STEEL SHEET PILING,SQ.FT.
6030190,DRIVE HP 310 X 79 PILES,L.FT.
6030191,DRIVE HP 310 X 110 PILES,L.FT.
6030192,DRIVE HP 14 X 89 PILES,L.FT.
6030193,DRIVE HP 360 X 174 PILES,L.FT.
6030194,DRIVE HP PILES (,L.FT.
6030195,DRIVE PILES (,L.FT.
6030231,DRIVING PILES (METAL SHELLS),L.FT.
6030241,DRIVING PILES (PIPE CASING),L.FT.
6030271,DRIVING PILES (PRECAST),L.FT.
6030291,DRIVING PILES (TIMBER),L.FT.
6030295,DRIVING AND REMOVING PILES (,L.FT.
6030303,SPLICING PILE-STEEL (FOR 5 TIMES UNIT PRICE OF 6030003),EACH
6030305,SPLICING PILE-STEEL (FOR 5 TIMES UNIT PRICE OF 6030005),EACH
6030306,SPLICING PILE-STEEL (FOR 5 TIMES UNIT PRICE OF 6030006),EACH
6030308,SPLICING PILE-STEEL (FOR 5 TIMES UNIT PRICE OF 6030008),EACH
6030310,SPLICING PILE-STEEL (FOR 5 TIMES UNIT PRICE OF 6030010),EACH
6030312,SPLICING PILE STEEL (FOR  5 TIMES THE UNIT PRICE OF 6030012),EACH
6030313,SPLICING PILE STEEL (FOR  5 TIMES THE UNIT PRICE OF 6030013),EACH
6030331,SPLICING PILE-METAL SHELL(FOR 5 TIMES UNIT PRICE OF 6030031),EACH
6030341,SPLICING PILE-PIPE CASING(FOR 5 TIMES UNIT PRICE OF 6030041),EACH
6030351,EXTEND PILE-PRECAST CONCRETE (FOR 5X UNIT PRICE OF 6030021),EACH
6040001,STRUCTURAL STEEL,LB.
6040002,STRUCTURAL STEEL (,LB.
6040003,STRUCTURAL STEEL (MISC),LB.
6040021,"STRUCTURAL STEEL (REMOVE, SALVAGE AND RE-ERECT)",L.SUM
6040035,PREFABRICATED STRUCTURE (,EACH
6040101,"METAL GRATE (SKYLIGHT)(DET ""L"")",EACH
6040104,STEEL GRATE (,SQ.FT.
6040111,BRIDGE EXPANSION JOINT ASSEMBLY (,L.FT.
6040201,BRIDGE EXPANSION JOINT,L.FT.
6040210,BRIDGE EXPANSION JOINT (,L.FT.
6040211,BRIDGE EXPANSION JOINT (,L.FT.
6040301,POT BEARING ASSEMBLY,EACH
6040303,POT BEARING ASSEMBLY (,EACH
6040304,POT BEARING ASSEMBLY (,EACH
6040401,BRIDGE STRAND HANGERS,L.SUM
6041001,JACKING BRIDGE SUPERSTRUCTURE,L.SUM
6044001,TOP INLET (TYPE I),EACH
6044002,TOP INLET (TYPE II),EACH
6044003,TOP INLET (TYPE III),EACH
6044004,TOP INLET (TYPE IV),EACH
6044005,TOP INLET (TYPE V),EACH
6045010,ACCESS BARRIER GATE,EACH
6045011,ACCESS BARRIER GATE (,EACH
6045012,ACCESS BARRIER GATE (,EACH
6045024,"ACCESS BARRIER GATE (24"")",EACH
6045030,"ACCESS BARRIER GATE (30"")",EACH
6045036,"ACCESS BARRIER GATE (36"")",EACH
6045042,"ACCESS BARRIER GATE (42"")",EACH
6045048,"ACCESS BARRIER GATE (48"")",EACH
6045054,"ACCESS BARRIER GATE (54"")",EACH
6045060,"ACCESS BARRIER GATE (60"")",EACH
6045066,"ACCESS BARRIER GATE (66"")",EACH
6045072,"ACCESS BARRIER GATE (72"")",EACH
6050001,REINFORCING STEEL,L.SUM
6050002,REINFORCING STEEL,LB.
6050003,REINFORCING STEEL (,LB.
6050012,REINFORCING STEEL (EPOXY COATED),LB.
6050101,PLACE DOWELS,EACH
6050102,PLACE DOWELS,EACH
6050111,DOWELS (,EACH
6050302,ROCK BOLTS,L.FT.
6060001,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (40' 0"")",EACH
6060005,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (57' 6"")",EACH
6060006,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (62' 6"")",EACH
6060008,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (72' 6"")",EACH
6060010,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (80' 0"")",EACH
6060012,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (88' 0"")",EACH
6060014,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (96' 0"")",EACH
6060016,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (104' 0"")",EACH
6060017,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (108' 4"")",EACH
6060018,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (112' 4"")",EACH
6060019,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (116' 4"")",EACH
6060022,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (128' 4"")",EACH
6060023,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (132' 4"")",EACH
6060024,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (136' 4"")",EACH
6060025,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (140' 4"")",EACH
6060026,"BRIDGE SIGN STRUCTURE STANDARD) (113'10"")",EACH
6060030,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (93' -6"")",EACH
6060031,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (105' -6"")",EACH
6060032,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (113' -10"")",EACH
6060033,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (117' -10"")",EACH
6060034,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (133' -10"")",EACH
6060035,"BRIDGE SIGN STRUCTURE (HIGHWAY STANDARD) (141' -10"")",EACH
6060036,BRIDGE SIGN STRUCTURE (BUTTERFLY DMS),EACH
6060037,BRIDGE SIGN STRUCTURE (,EACH
6060038,BRIDGE SIGN STRUCTURE (,EACH
6060039,BRIDGE SIGN STRUCTURE (,EACH
6060041,BRIDGE SIGN STRUCTURE (TUBULAR) (70' TO 94'),EACH
6060042,BRIDGE SIGN STRUCTURE (TUBULAR) (94' TO 106'),EACH
6060043,BRIDGE SIGN STRUCTURE (TUBULAR) (106' TO 130'),EACH
6060044,BRIDGE SIGN STRUCTURE (TUBULAR) (130' TO 142'),EACH
6060045,"BRIDGE SIGN STRUCTURE (SD9.20, TYPE 1F)",EACH
6060046,"BRIDGE SIGN STRUCTURE (SD9.20, TYPE 2F)",EACH
